"XDETAIL","./DWGs/COMM/xdetail.dwg","X-SYMB","RED","CONTINUOUS",0,0,-1,-1
"XSECTA","./DWGs/COMM/xsecta.dwg","X-SYMB","RED","CONTINUOUS",-1,0,-1,-1
"XSECTT","./DWGs/COMM/xsectt.dwg","X-SYMB","RED","CONTINUOUS",0,1,-1,-1
"CONDUIT-RISERS",,"T-COND","GREEN","CONTINUOUS",0,-1,"LINE",-1
"EQUIPMENT",,"T-EQPM","MAGENTA","CONTINUOUS",0,-1,"LINE",-1
"CABTRAYS",,"T-EQPM-CABT","MAGENTA","CONTINUOUS",0,-1,"LINE",-1
"RACEWAY1",,"T-EQPM-RACE","YELLOW","CONTINUOUS",0,-1,"LINE",-1
"RACEWAY2",,"T-EQPM-RACE","YELLOW","CONTINUOUS",0,-1,"DL",-1
"CABLE",,"T-CABL","BLUE","CONTINUOUS",0,-1,"LINE",-1
"COPPCAB",,"T-CABL-COPR","MAGENTA","CONTINUOUS",0,-1,"LINE",-1
"FIBRCAB",,"T-CABL-OFIB","YELLOW","CONTINUOUS",0,-1,"LINE",-1
"OPLANCAB",,"T-CABL-OUTP","RED","CONTINUOUS",0,-1,"LINE",-1
"1VOICEO",,"T-JACK-VOIC","GREEN","CONTINUOUS",0,-1,-1,-1
"1WALLPHONEO",,"T-JACK-VOIC-WALL","GREEN","CONTINUOUS",0,-1,-1,-1
"1SURFV",,"T-JACK-VOIC-SURF","GREEN","CONTINUOUS",0,-1,-1,-1
"1FLOORV",,"T-JACK-VOIC-FLOR","GREEN","CONTINUOUS",0,-1,-1,-1
"1CEILV",,"T-JACK-VOIC-CLNG","GREEN","CONTINUOUS",0,-1,-1,-1
"1DATAO",,"T-JACK-DATA","GREEN","CONTINUOUS",0,-1,-1,-1
"1SURFDAT",,"T-JACK-DATA-SURF","GREEN","CONTINUOUS",0,-1,-1,-1
"1FLOORDAT",,"T-JACK-DATA-FLOR","GREEN","CONTINUOUS",0,-1,-1,-1
"1CEILDAT",,"T-JACK-DATA-CLNG","GREEN","CONTINUOUS",0,-1,-1,-1
"1VOICEDATA",,"T-JACK-VDAT","GREEN","CONTINUOUS",0,-1,-1,-1
"1SURFVDAT",,"T-JACK-VDAT-SURF","GREEN","CONTINUOUS",0,-1,-1,-1
"1FLOORVDAT",,"T-JACK-VDAT-FLOR","GREEN","CONTINUOUS",0,-1,-1,-1
"1CEILVDAT",,"T-JACK-VDAT-CLNG","GREEN","CONTINUOUS",0,-1,-1,-1
"1FUTC",,"T-JACK-FUTC","GREEN","CONTINUOUS",0,-1,-1,-1
"1FUTCSURF",,"T-JACK-FUTC-SURF","GREEN","CONTINUOUS",0,-1,-1,-1
"1FUTCFLOR",,"T-JACK-FUTC-FLOR","GREEN","CONTINUOUS",0,-1,-1,-1
"1FUTCCLNG",,"T-JACK-FUTC-CLNG","GREEN","CONTINUOUS",0,-1,-1,-1
"1POKETHRU",,"T-PKTH","YELLOW","CONTINUOUS",0,-1,-1,-1
"1FURN",,"T-FURN-FEED","YELLOW","CONTINUOUS",0,-1,-1,-1
"1AUDVIS",,"T-AUDV","MAGENTA","CONTINUOUS",0,-1,-1,-1
"1SPCP",,"T-SPCP","GREEN","CONTINUOUS",0,-1,-1,-1
"1SPLICE",,"T-SPLC","MAGENTA","CONTINUOUS",0,-1,-1,-1
"1PULLBOX",,"T-PULB","MAGENTA","CONTINUOUS",0,-1,-1,-1
"1POWER",,"T-POWR","MAGENTA","CONTINUOUS",0,-1,-1,-1
"2TOVOICE","./DWGs/TELD/TOVOICE.dwg","T-JACK-VOIC-WALL","GREEN","CONTINUOUS",-1,0,"W",-1
